weakness,asset,severity,framework_refs,recommended_fix,owner,due,status,estate,poam_id,finding_ref_id,controls,weakness_description,detector_source,weakness_source_id,original_detection_date,scheduled_completion_date,status_date,milestones,original_risk_rating,point_of_contact,cve
Okta admin MFA gap,example.okta.com,critical,"csf_PR,csf_protect,nist80053_IA-2,nist80053_IA-2(1)",Enforce MFA on privileged Okta/Entra/Google roles from the dropped ScubaGear or Okta export. This is not a Graph or Okta API call.,,,open,DEMO: NOT A CLIENT,POAM-SAAS-admins-mfa,SAAS-admins-mfa,"IA-2, IA-2(1)",Okta admin MFA enrollment disabled,saas-idp,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Privileged MFA gap,admin@example.com|example.com,critical,"csf_PR,csf_protect,nist80053_IA-2,nist80053_IA-2(1)",Enforce MFA on privileged Okta/Entra/Google roles from the dropped ScubaGear or Okta export. This is not a Graph or Okta API call.,,,open,DEMO: NOT A CLIENT,POAM-SAAS-mfa-gap-adminexample-com,SAAS-mfa-gap-adminexample-com,"IA-2, IA-2(1)","Export lists admin@example.com without MFA registered while holding Global Administrator. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Privileged MFA gap,it-admin@example.com|example.okta.com,critical,"csf_PR,csf_protect,nist80053_IA-2,nist80053_IA-2(1)",Enforce MFA on privileged Okta/Entra/Google roles from the dropped ScubaGear or Okta export. This is not a Graph or Okta API call.,,,open,DEMO: NOT A CLIENT,POAM-SAAS-mfa-gap-it-adminexample-com,SAAS-mfa-gap-it-adminexample-com,"IA-2, IA-2(1)","Export lists it-admin@example.com without MFA registered while holding SUPER_ADMIN. This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Privileged roles use PIM,contoso.onmicrosoft.com,critical,"csf_PR,csf_protect,nist80053_AC-2,nist80053_AC-6,nist80053_AC-5","Use PIM eligible assignments instead of standing Global Administrator. This is a dropped Scuba/Graph export finding, not a Graph API call.",,,open,DEMO: NOT A CLIENT,POAM-SAAS-privileged-roles-use-pim-contoso-onmicrosoft-com,SAAS-privileged-roles-use-pim-contoso-onmicrosoft-com,"AC-2, AC-6, AC-5",Global Administrator assigned permanently,saas-idp (scuba),Privileged roles use PIM,not recorded,pending due date,2026-09-26,pending due date,Critical,,
S3 bucket allows public access,demo-public-assets,critical,"cpg_2_W,csf_PR,csf_protect,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7","Remove public ACLs and bucket policies (S3 Public Access Block; drop AllUsers/AuthenticatedUsers). This is an ACL/public-access finding, not a default-encryption change.",,,open,DEMO: NOT A CLIENT,POAM-CLD-s3-bucket-public-access-demo-public-assets,CLD-s3-bucket-public-access-demo-public-assets,"AC-3, AC-6, SC-7",Bucket ACL and policy allow public List/Get.,cloud-prowler,s3_bucket_public_access,not recorded,pending due date,2026-09-26,pending due date,Critical,,
ScoutSuite s3: Bucket readable by AllUsers,demo-scout-public,critical,"cpg_2_W,csf_PR,csf_protect,nist80053_AC-3,nist80053_AC-6,nist80053_SC-7","Remove public ACLs and bucket policies (S3 Public Access Block; drop AllUsers/AuthenticatedUsers). This is an ACL/public-access finding, not a default-encryption change.",,,open,DEMO: NOT A CLIENT,POAM-CLD-s3-bucket-allusers-read-demo-scout-public,CLD-s3-bucket-allusers-read-demo-scout-public,"AC-3, AC-6, SC-7",s3 Bucket readable by AllUsers,cloud-prowler,s3-bucket-allusers-read,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Standing Global Administrator,admin@example.com|example.com,critical,"csf_PR,csf_protect,nist80053_AC-2,nist80053_AC-6,nist80053_AC-5","Use PIM eligible assignments instead of standing Global Administrator. This is a dropped Scuba/Graph export finding, not a Graph API call.",,,open,DEMO: NOT A CLIENT,POAM-SAAS-standing-admin-adminexample-com,SAAS-standing-admin-adminexample-com,"AC-2, AC-6, AC-5","Export lists a standing Global Administrator assignment for admin@example.com (not PIM-eligible in this drop). This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Standing Global Administrator,ga@contoso.onmicrosoft.com|contoso.onmicrosoft.com,critical,"csf_PR,csf_protect,nist80053_AC-2,nist80053_AC-6,nist80053_AC-5","Use PIM eligible assignments instead of standing Global Administrator. This is a dropped Scuba/Graph export finding, not a Graph API call.",,,open,DEMO: NOT A CLIENT,POAM-SAAS-standing-admin-gacontoso-onmicrosoft-com,SAAS-standing-admin-gacontoso-onmicrosoft-com,"AC-2, AC-6, AC-5","Export lists a standing Global Administrator assignment for ga@contoso.onmicrosoft.com (not PIM-eligible in this drop). This is an identity-posture assessment finding from a dropped IdP export, not evidence of a breach or a live Graph/Okta/Google API call.",saas-idp,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Telnet exposed,filesrv.corp.local,critical,"cpg_2_W,csf_PR,csf_protect,nist80053_CM-7,nist80053_SC-8,nist80053_AC-17",Disable Telnet (TCP/23). Use SSH or an approved jump host. Do not leave cleartext remote admin on the network.,,,open,DEMO: NOT A CLIENT,POAM-NMAP-filesrv-corp-local-23,NMAP-filesrv-corp-local-23,"CM-7, SC-8, AC-17",filesrv.corp.local has open TCP/23 (tcp).,inventory-nmap,,not recorded,pending due date,2026-09-26,pending due date,Critical,,
Telnet exposed,telnet-legacy.corp.local,critical,"cpg_2_W,csf_PR,csf_protect,nist80053_CM-7,nist80053_SC-8,nist80053_AC-17",Disable Telnet (TCP/23). Use SSH or an approved jump host. Do not leave cleartext remote admin on the network.,,,open,DEMO: NOT A CLIENT,POAM-NMAP-telnet-legacy-corp-local-23,NMAP-telnet-legacy-corp-local-23,"CM-7, SC-8, AC-17",telnet-legacy.corp.local has open TCP/23 (telnet).,inventory-nmap,,2023-11-14,2023-11-29,2026-09-26,"M1 2023-11-17 Validate finding, confirm asset owner and scope; M2 2023-11-22 Apply fix: Disable Telnet; require encrypted remote admin; M3 2023-11-29 Rescan to verify closure and attach evidence",Critical,,
TruffleHog Github,scripts/deploy.sh,critical,"csf_PR,csf_protect,csf_DE,csf_detect,nist80053_IA-5,nist80053_SI-4,cis_3_3","Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",,,open,DEMO: NOT A CLIENT,POAM-CODE-trufflehog-github-scripts-deploy-sh,CODE-trufflehog-github-scripts-deploy-sh,"IA-5, SI-4",Github secret in scripts/deploy.sh value=[REDACTED] verified=True,code-secrets (trufflehog),,not recorded,pending due date,2026-09-26,pending due date,Critical,,
xz-utils supply chain backdoor,app-server:latest,critical,"csf_ID,csf_identify,csf_PR,csf_protect,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7","Replace xz-utils/liblzma 5.6.0/5.6.1 (the backdoored builds) with a clean package (5.4.x or a later rebuilt release). Rotate credentials or keys that may have been exposed on hosts that ran the backdoored library. This is a supply-chain CVE, not a config-drift finding.",,,open,DEMO: NOT A CLIENT,POAM-VULN-cve-2024-3094-app-server-latest,VULN-cve-2024-3094-app-server-latest,"SI-2, RA-5",Malicious code in xz-utils liblzma.,vuln-scan (trivy),,not recorded,pending due date,2026-09-26,pending due date,Critical,,CVE-2024-3094
AS-REP roastable account,SVC-KRBTGT-ROAST,high,"csf_PR,csf_protect,nist80053_IA-2,nist80053_AC-2","Uncheck 'Do not require Kerberos preauthentication'. This is a BloodHound file-drop finding, not a live AD call.",,,open,DEMO: NOT A CLIENT,POAM-ID-as-rep-roastable-account-svc-krbtgt-roast,ID-as-rep-roastable-account-svc-krbtgt-roast,"IA-2, AC-2",SVC-KRBTGT-ROAST does not require Kerberos preauth.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
Allow privilege escalation,prod-cluster,high,"cpg_2_W,csf_PR,csf_protect,nist80053_AC-6,nist80053_CM-7","Set allowPrivilegeEscalation=false. This is a dropped Kubescape finding, not a live kubectl call.",,,open,DEMO: NOT A CLIENT,POAM-K8S-c-0034-prod-cluster,K8S-c-0034-prod-cluster,"AC-6, CM-7",allowPrivilegeEscalation not set false,k8s-kubescape (kubescape),C-0034,not recorded,pending due date,2026-09-26,pending due date,High,,
Anonymous authentication is not enabled,cluster,high,"csf_PR,csf_protect,nist80053_IA-2,nist80053_AC-3","Set --anonymous-auth=false on kube-apiserver. This is a dropped CIS/kube-bench finding, not a live cluster call.",,,open,DEMO: NOT A CLIENT,POAM-K8S-1-2-1-cluster,K8S-1-2-1-cluster,"IA-2, AC-3",Anonymous authentication is not enabled,"k8s-kubescape (kubescape, kube-bench)",1.2.1,not recorded,pending due date,2026-09-26,pending due date,High,,
Backup Operators privileged group,BACKUP OPERATORS@CORP.LOCAL,high,"csf_PR,csf_protect,nist80053_AC-2,nist80053_AC-6","Remove standing Backup Operators members. This is a BloodHound/PingCastle file-drop finding, not a live AD call.",,,open,DEMO: NOT A CLIENT,POAM-ID-backup-operators-privileged-group-backup-operato,ID-backup-operators-privileged-group-backup-operato,"AC-2, AC-6",Members can dump SAM / seize privileged files.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
BloodHound AdminTo,HELPDESK@CORP.LOCAL|DC01.CORP.LOCAL,high,"csf_PR,csf_protect,nist80053_AC-6,nist80053_AC-2","Remove the AdminTo local-admin edge; prefer just-in-time privileged access. This is a BloodHound file-drop finding, not a live AD call.",,,open,DEMO: NOT A CLIENT,POAM-ID-adminto-helpdeskcorp-local-dc01-corp-local,ID-adminto-helpdeskcorp-local-dc01-corp-local,"AC-6, AC-2",Principal has local admin on the target. HELPDESK@CORP.LOCAL -> DC01.CORP.LOCAL,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
CIS-CAT 5.2.10: Ensure SSH PermitRootLogin is no,jump-unmanaged,high,"csf_PR,csf_protect,nist80053_IA-2,nist80053_AC-6","Set PermitRootLogin no and use a named sudo account. This is a Lynis/OpenSCAP posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-cis-5-2-10-jump-unmanaged,WAZ-cis-5-2-10-jump-unmanaged,"IA-2, AC-6",Ensure SSH PermitRootLogin is no,host-wazuh,5.2.10,not recorded,pending due date,2026-09-26,pending due date,High,,
Cloud Custodian s3-encryption-missing,demo-unencrypted-tmp,high,"csf_PR,csf_protect,nist80053_SC-28,nist80053_SC-13","Enable default bucket encryption with SSE-S3 or SSE-KMS. This is an encryption-at-rest finding, not a bucket-policy exposure.",,,open,DEMO: NOT A CLIENT,POAM-CLD-s3-encryption-missing-demo-unencrypted-tmp,CLD-s3-encryption-missing-demo-unencrypted-tmp,"SC-28, SC-13",S3 bucket without default encryption,cloud-prowler,s3-encryption-missing,not recorded,pending due date,2026-09-26,pending due date,High,,
CloudTrail multi-region trail is missing,acct-123456789012,high,"csf_DE,csf_detect,nist80053_AU-2,nist80053_AU-3,nist80053_AU-12","Create a multi-region CloudTrail trail with log-file validation to a locked log bucket. This is an audit-logging finding, not encryption or public-access.",,,open,DEMO: NOT A CLIENT,POAM-CLD-cloudtrail-multi-region-enabled-acct-12345678901,CLD-cloudtrail-multi-region-enabled-acct-12345678901,"AU-2, AU-3, AU-12",No multi-region CloudTrail trail.,cloud-prowler,cloudtrail_multi_region_enabled,not recorded,pending due date,2026-09-26,pending due date,High,,
"DEMO — possible command injection (fixture, not a scan)",app-01.demo.internal,high,"csf_PR,csf_protect,nist80053_SI-10,nist80053_SA-11","Do not pass untrusted input to a shell. Use argv arrays or a safe API. This is a SAST/SARIF finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-VULN-python-lang-security-audit-command-injection-app,VULN-python-lang-security-audit-command-injection-app,"SI-10, SA-11","DEMO — possible command injection (fixture, not a scan)","vuln-scan (sarif, nuclei)",python.lang.security.audit.command-injection,not recorded,pending due date,2026-09-26,pending due date,High,,
Default security group allows inbound traffic,sg-default,high,"cpg_2_W,csf_PR,csf_protect,nist80053_SC-7,nist80053_AC-3","Remove 0.0.0.0/0 ingress. Allow only required CIDRs or prefix lists. This is a network-exposure finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-CLD-ec2-securitygroup-allow-ingress-from-internet-to,CLD-ec2-securitygroup-allow-ingress-from-internet-to,"SC-7, AC-3",Default SG allows 0.0.0.0/0 on all ports.,cloud-prowler,ec2_securitygroup_allow_ingress_from_internet_to_any_port,not recorded,pending due date,2026-09-26,pending due date,High,,
Disk encryption disabled on fleet-laptop-07,fleet-laptop-07,high,"csf_PR,csf_protect,nist80053_SC-28,nist80053_MP-5","Enable FileVault, BitLocker, or LUKS on the endpoint. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-diskenc-intune-fleet-laptop-07,WAZ-diskenc-intune-fleet-laptop-07,"SC-28, MP-5","fleet-laptop-07 export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Disk encryption disabled on fleet-laptop-07,fleet-laptop-07,high,"csf_PR,csf_protect,nist80053_SC-28,nist80053_MP-5","Enable FileVault, BitLocker, or LUKS on the endpoint. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-diskenc-jamf-fleet-laptop-07,WAZ-diskenc-jamf-fleet-laptop-07,"SC-28, MP-5","fleet-laptop-07 export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Disk encryption disabled on jump-unmanaged,jump-unmanaged,high,"csf_PR,csf_protect,nist80053_SC-28,nist80053_MP-5","Enable FileVault, BitLocker, or LUKS on the endpoint. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-diskenc-intune-jump-unmanaged,WAZ-diskenc-intune-jump-unmanaged,"SC-28, MP-5","jump-unmanaged export lists disk encryption as not enabled. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
Domain Admins group listed,DC01.CORP.LOCAL,high,"csf_PR,csf_protect,nist80053_AC-2,nist80053_AC-6","Remove standing Domain Admins members. This is a dropped identity export, not a live directory call.",,,open,DEMO: NOT A CLIENT,POAM-ID-domain-admins-group-listed-dc01-corp-local,ID-domain-admins-group-listed-dc01-corp-local,"AC-2, AC-6",DC01.CORP.LOCAL export lists Domain Admins.,identity-ad,,not recorded,pending due date,2026-09-26,pending due date,High,,
Exposed admin interface on admin.example.com,admin.example.com,high,"cpg_2_W,csf_PR,csf_protect,nist80053_AC-17,nist80053_SC-7","Move the admin UI off the public perimeter or put it behind SSO/VPN. This is a dropped httpx/EASM finding, not a live HTTP probe.",,,open,DEMO: NOT A CLIENT,POAM-EASM-admin-example-com-admin-ui,EASM-admin-example-com-admin-ui,"AC-17, SC-7",admin.example.com presents an admin/login interface (title=Admin login).,easm,,not recorded,pending due date,2026-09-26,pending due date,High,,
Exposed admin interface path on admin.example.com,admin.example.com,high,"cpg_2_W,csf_PR,csf_protect,nist80053_AC-17,nist80053_SC-7","Move the admin UI off the public perimeter or put it behind SSO/VPN. This is a dropped httpx/EASM finding, not a live HTTP probe.",,,open,DEMO: NOT A CLIENT,POAM-EASM-admin-example-com-path-admin,EASM-admin-example-com-path-admin,"AC-17, SC-7","admin.example.com exposes /admin (status=200). This is a dropped ffuf/gobuster finding, not a live HTTP probe.",easm,,not recorded,pending due date,2026-09-26,pending due date,High,,
FTP exposed,filesrv.corp.local,high,"cpg_2_W,csf_PR,csf_protect,nist80053_CM-7,nist80053_SC-8",Disable FTP (TCP/21) or replace with SFTP/FTPS. Restrict any remaining listener to a management VLAN.,,,open,DEMO: NOT A CLIENT,POAM-NMAP-filesrv-corp-local-21,NMAP-filesrv-corp-local-21,"CM-7, SC-8",filesrv.corp.local has open TCP/21 (tcp).,inventory-nmap,,not recorded,pending due date,2026-09-26,pending due date,High,,
FTP exposed,legacy-ftp.corp.local,high,"cpg_2_W,csf_PR,csf_protect,nist80053_CM-7,nist80053_SC-8",Disable FTP (TCP/21) or replace with SFTP/FTPS. Restrict any remaining listener to a management VLAN.,,,open,DEMO: NOT A CLIENT,POAM-NMAP-legacy-ftp-corp-local-21,NMAP-legacy-ftp-corp-local-21,"CM-7, SC-8",legacy-ftp.corp.local has open TCP/21 (ftp).,inventory-nmap,,not recorded,pending due date,2026-09-26,pending due date,High,,
HTTP/2 Rapid Reset,https://dev-api.example.com,high,"csf_ID,csf_identify,csf_PR,csf_protect,nist80053_SI-2,nist80053_RA-5,cis_7_3,cis_7_4,cis_7_7","Upgrade the HTTP/2 stack (nginx, Envoy, load balancer, or language runtime) to a release that limits or rejects Rapid Reset; disable HTTP/2 only if a patch is not available.",,,open,DEMO: NOT A CLIENT,POAM-VULN-cve-2023-44487-https-dev-api-example-com,VULN-cve-2023-44487-https-dev-api-example-com,"SI-2, RA-5",HTTP/2 rapid reset DoS,vuln-scan (nuclei),CVE-2023-44487,not recorded,pending due date,2026-09-26,pending due date,High,,CVE-2023-44487
Hardcoded credential assigned to variable,services/payments/config.py,high,"csf_PR,csf_protect,csf_DE,csf_detect,nist80053_IA-5,nist80053_SI-4,cis_3_3","Rotate the secret, revoke the old value, and remove it from the repo. The pack redacts secret material.",,,open,DEMO: NOT A CLIENT,POAM-CODE-python-lang-security-audit-hardcoded-password-se,CODE-python-lang-security-audit-hardcoded-password-se,"IA-5, SI-4",Hardcoded credential assigned to variable,code-secrets (semgrep),python.lang.security.audit.hardcoded-password,not recorded,pending due date,2026-09-26,pending due date,High,,
LM hashes are stored,win-dc01,high,"csf_PR,csf_protect,nist80053_IA-5,nist80053_SC-13","Disable storage of LAN Manager hashes. Prefer NTLMv2. This is a HardeningKitty/CIS posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-ID-hk-18-9-win-dc01,ID-hk-18-9-win-dc01,"IA-5, SC-13",Disable LM hash storage result=failed recommended=Enabled actual=[REDACTED],identity-ad (hardeningkitty),18.9,not recorded,pending due date,2026-09-26,pending due date,High,,
Password history is shorter than required,win-dc01,high,"csf_PR,csf_protect,nist80053_IA-5","Set password history to the recommended length. This is a HardeningKitty/CIS posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-ID-hk-1-1-win-dc01,ID-hk-1-1-win-dc01,IA-5,Enforce password history result=failed recommended=24 actual=[REDACTED],identity-ad (hardeningkitty),1.1,not recorded,pending due date,2026-09-26,pending due date,High,,
HostNetwork access,prod-cluster,high,"cpg_2_W,csf_PR,csf_protect,nist80053_SC-7,nist80053_CM-7","Unset hostNetwork unless the workload is a documented system DaemonSet. This is a dropped Kubescape finding, not a live cluster call.",,,open,DEMO: NOT A CLIENT,POAM-K8S-c-0041-prod-cluster,K8S-c-0041-prod-cluster,"SC-7, CM-7",DaemonSet uses hostNetwork,k8s-kubescape (kubescape),C-0041,not recorded,pending due date,2026-09-26,pending due date,High,,
IAM users should have MFA,iam-user-nomega,high,"csf_PR,csf_protect,nist80053_IA-2,nist80053_IA-2(1)","Enforce MFA on the IAM user (console login or policy condition). This is a user-MFA gap, not the account-root MFA control.",,,open,DEMO: NOT A CLIENT,POAM-CLD-aws-iam-user-mfa-iam-user-nomega,CLD-aws-iam-user-mfa-iam-user-nomega,"IA-2, IA-2(1)",User nomega has no MFA device,cloud-prowler,aws_iam_user_mfa,not recorded,pending due date,2026-09-26,pending due date,High,,
Legacy authentication protocols are enabled,contoso.onmicrosoft.com,high,"csf_PR,csf_protect,nist80053_IA-2,nist80053_IA-5","Disable IMAP/SMTP basic auth and other legacy authentication protocols. This is a dropped Scuba/IdP export finding, not a Graph API call.",,,open,DEMO: NOT A CLIENT,POAM-SAAS-legacy-authentication-protocols-disabled-contoso,SAAS-legacy-authentication-protocols-disabled-contoso,"IA-2, IA-5",M365 legacy auth (IMAP/SMTP basic) still enabled,saas-idp (scuba),Legacy authentication protocols disabled,not recorded,pending due date,2026-09-26,pending due date,High,,
Host firewall is disabled,jump-unmanaged,high,"cpg_2_W,csf_PR,csf_protect,nist80053_SC-7,nist80053_CM-7,nist80053_CM-6","Install and enable a host firewall. This is a Lynis/OpenSCAP posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-lynis-fire-4590-jump-unmanaged,WAZ-lynis-fire-4590-jump-unmanaged,"SC-7, CM-7, CM-6",No firewall software installed,host-wazuh (lynis),FIRE-4590,not recorded,pending due date,2026-09-26,pending due date,High,,
SSH root login is enabled,jump-unmanaged,high,"csf_PR,csf_protect,nist80053_IA-2,nist80053_AC-6,nist80053_CM-6","Set PermitRootLogin no and use a named sudo account. This is a Lynis/OpenSCAP posture finding, not a CVE.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-lynis-ssh-7408-jump-unmanaged,WAZ-lynis-ssh-7408-jump-unmanaged,"IA-2, AC-6, CM-6",SSH PermitRootLogin is enabled,host-wazuh (lynis),SSH-7408,not recorded,pending due date,2026-09-26,pending due date,High,,
MDM enrollment off on fleet-laptop-07,fleet-laptop-07,high,"csf_PR,csf_protect,nist80053_CM-2,nist80053_CM-6","Enroll the host in the approved MDM. This is a Fleet/Intune/Jamf file-drop finding, not a live agent query.",,,open,DEMO: NOT A CLIENT,POAM-WAZ-mdm-jamf-fleet-laptop-07,WAZ-mdm-jamf-fleet-laptop-07,"CM-2, CM-6","fleet-laptop-07 is not enrolled in MDM according to the dropped jamf export. This is an endpoint-posture assessment finding from a dropped MDM export, not evidence of a breach or a live Intune/Jamf/osquery query.",host-wazuh,,not recorded,pending due date,2026-09-26,pending due date,High,,
